icmecat_id,sc_insitu,icme_start_time,mo_start_time,mo_end_time,mo_sc_heliodistance,mo_sc_long_heeq,mo_sc_lat_heeq,icme_duration,icme_bmax,icme_bmean,icme_bstd,icme_speed_mean,icme_speed_std,mo_duration,mo_bmax,mo_bmean,mo_bstd,mo_bzmean,mo_bzmin,mo_bzstd,mo_bymean,mo_bystd,mo_speed_mean,mo_speed_std,mo_expansion_speed,mo_pdyn_mean,mo_pdyn_std,mo_density_mean,mo_density_std,mo_temperature_mean,mo_temperature_std,sheath_speed_mean,sheath_speed_std,sheath_density_mean,sheath_density_std,sheath_pdyn_mean,sheath_pdyn_std,sc_time,mo_sc_GSE_x,mo_sc_GSE_y,mo_sc_GSE_z
ICME_Wind_MOESTL_20241217_01,Wind,2024-12-17 04:28:00,2024-12-17 05:28:00,2024-12-17 14:16:00,0.9732,-0.1,-1.17,9.8,32.0,23.5,4.5,621.7,48.5,8.8,32.0,24.0,4.3,10.0,-18.2,11.3,14.1,6.1,630.9,41.9,-39.4,13.9,7.7,20.3,10.0,297500.0,323800.5,541.5,19.5,42.2,6.7,20.9,4.5,2024-12-17 05:28:00,254.05983649626165,41.829446995880254,13.44135342041191
ICME_Wind_MOESTL_20241207_01,Wind,2024-12-07 23:14:00,2024-12-07 23:14:00,2024-12-08 17:50:00,0.9746,-0.17,0.02,18.6,10.2,8.2,1.1,353.1,16.3,18.6,10.2,8.2,1.1,-1.3,-5.2,1.4,-6.5,1.4,353.1,16.3,21.4,1.6,0.7,7.8,3.6,65012.1,33690.2,,,,,,,2024-12-07 23:14:00,245.660402978532,69.99709174418605,12.775243885365994
ICME_Wind_MOESTL_20241129_01,Wind,2024-11-29 02:14:00,2024-11-29 06:12:00,2024-11-29 17:08:00,0.9763,-0.21,1.13,14.9,16.6,11.3,1.9,393.0,23.4,10.93,14.0,10.5,1.4,0.5,-9.8,3.8,6.6,2.9,386.4,21.8,26.5,2.7,0.9,10.6,2.3,115399.6,38922.1,411.6,16.8,17.0,2.5,4.8,0.8,2024-11-29 06:12:00,236.98636473413592,85.86628040938591,10.264557731323203
ICME_Wind_MOESTL_20241114_01,Wind,2024-11-14 02:56:00,2024-11-14 04:28:00,2024-11-14 15:30:00,0.98,-0.25,2.95,12.57,13.2,12.2,0.9,372.7,18.0,11.03,13.2,12.5,0.3,-1.3,-7.8,4.4,-6.3,1.7,376.7,14.9,22.9,0.8,0.1,3.4,0.6,131196.0,62456.1,344.5,11.5,7.7,2.1,1.5,0.4,2024-11-14 04:28:00,218.59522917779213,100.93980053533956,0.8730942385970395
ICME_Wind_MOESTL_20241109_01,Wind,2024-11-09 22:00:00,2024-11-09 22:00:00,2024-11-10 10:58:00,0.9812,-0.25,3.44,12.97,12.8,10.5,1.1,407.0,8.7,12.97,12.8,10.5,1.1,-5.9,-9.5,2.1,5.4,2.2,407.0,8.7,-5.7,3.6,0.8,13.0,2.6,42052.3,12724.1,,,,,,,2024-11-09 22:00:00,214.0190923917737,101.09298716881406,2.0222923084613553
ICME_Wind_MOESTL_20241108_02,Wind,2024-11-08 22:00:00,2024-11-08 22:00:00,2024-11-09 11:50:00,0.9815,-0.25,3.55,13.83,16.0,14.1,1.6,398.3,9.4,13.83,16.0,14.1,1.6,-10.7,-14.6,2.5,3.7,6.1,398.3,9.4,-8.0,4.3,1.3,16.0,4.7,48263.6,17923.5,,,,,,,2024-11-08 22:00:00,212.72044464870686,101.03965970657265,1.4981024178868725
ICME_Wind_MOESTL_20241108_01,Wind,2024-11-08 09:56:00,2024-11-08 11:34:00,2024-11-08 19:28:00,0.9816,-0.25,3.59,9.53,17.1,14.8,2.6,375.0,10.4,7.9,17.1,15.8,1.4,-4.1,-14.4,7.5,11.3,5.4,375.1,11.2,13.1,3.1,1.1,13.2,4.5,34270.1,18045.0,374.3,5.0,33.5,4.1,7.9,1.1,2024-11-08 11:34:00,212.88804851165955,100.6839849892913,-1.7132514021695369
ICME_Wind_MOESTL_20241026_01,Wind,2024-10-26 15:30:00,2024-10-26 22:32:00,2024-10-27 09:27:00,0.9852,-0.2,4.86,17.95,25.6,18.5,3.8,446.5,18.1,10.92,21.7,16.9,3.4,0.7,-7.3,3.4,11.6,3.3,443.3,12.7,,3.8,0.7,11.7,2.4,231481.3,126136.4,451.6,23.5,16.1,3.0,5.5,1.1,2024-10-26 22:32:00,203.89568341487794,80.27569870855181,-4.798696329026163
ICME_Wind_MOESTL_20241010_01,Wind,2024-10-10 14:58:00,2024-10-10 22:06:00,2024-10-11 10:20:00,0.9899,-0.09,6.13,19.37,47.8,30.9,7.0,691.5,40.8,12.23,47.8,32.5,7.0,-27.4,-47.3,11.3,-1.0,7.4,683.8,37.7,-14.3,4.9,2.8,6.1,3.3,190714.0,112591.1,705.1,42.4,29.7,5.8,24.8,5.7,2024-10-10 22:06:00,198.20341992128908,35.771497203728586,-8.496788330782234
ICME_Wind_MOESTL_20241007_02,Wind,2024-10-07 22:10:00,2024-10-07 22:10:00,2024-10-08 08:44:00,0.9908,-0.06,6.31,10.57,16.6,15.5,1.4,422.2,11.8,10.57,16.6,15.5,1.4,-6.9,-14.7,5.7,-9.6,2.6,422.2,11.8,3.7,3.5,1.5,11.5,4.8,36569.4,21307.9,,,,,,,2024-10-07 22:10:00,197.6949570840989,23.492550795434262,-12.009931715870485
ICME_Wind_MOESTL_20241007_01,Wind,2024-10-07 11:36:00,2024-10-07 11:36:00,2024-10-07 20:20:00,0.9909,-0.05,6.34,8.73,16.2,13.9,1.3,442.7,18.4,8.73,16.2,13.9,1.3,-8.8,-14.9,4.4,4.4,5.4,442.7,18.4,24.5,3.9,0.6,12.0,2.2,71124.1,17557.2,,,,,,,2024-10-07 11:36:00,198.36774044338458,19.563027055211833,-10.375561124851318
ICME_Wind_MOESTL_20241006_01,Wind,2024-10-06 07:08:00,2024-10-06 15:02:00,2024-10-07 00:56:00,0.9912,-0.05,6.39,17.8,16.4,13.4,1.2,486.0,27.9,9.9,15.8,13.7,0.9,-6.0,-13.2,6.4,5.9,4.2,493.3,27.1,32.9,4.3,0.8,10.6,2.1,86194.8,60895.6,475.6,25.7,10.6,1.1,4.0,0.6,2024-10-06 15:02:00,197.20513294440542,19.56657330806573,-10.641594585715271
ICME_Wind_MOESTL_20240916_01,Wind,2024-09-16 22:56:00,2024-09-17 01:48:00,2024-09-17 11:58:00,0.9966,0.13,7.14,13.03,19.7,15.5,1.8,539.0,19.1,10.17,19.7,15.4,1.9,-2.5,-18.3,5.4,-12.6,3.9,541.8,16.9,27.0,4.4,0.9,9.0,1.7,293094.9,128665.2,527.1,22.8,14.1,1.3,6.6,0.8,2024-09-17 01:48:00,198.9165282438547,-52.851714451965904,-11.409245357456204
ICME_Wind_MOESTL_20240912_02,Wind,2024-09-12 08:28:00,2024-09-12 11:44:00,2024-09-13 00:16:00,0.9977,0.17,7.21,15.8,29.7,20.3,6.1,520.4,32.4,12.53,29.7,20.7,6.4,-1.0,-22.0,11.8,-14.2,5.9,530.6,24.8,-16.0,5.1,2.7,10.8,5.9,189341.0,117220.6,481.2,27.7,29.1,4.6,11.4,2.5,2024-09-12 11:44:00,202.49992356670867,-68.96776128524849,-8.943343626124669
ICME_Wind_MOESTL_20240912_01,Wind,2024-09-12 03:04:00,2024-09-12 05:16:00,2024-09-12 08:20:00,0.9978,0.17,7.21,5.27,17.5,13.6,2.6,407.6,9.1,3.07,17.5,15.3,1.4,-10.0,-16.3,5.4,-8.5,4.3,409.3,7.9,7.0,5.8,1.2,20.7,4.0,140347.8,29401.2,405.1,10.2,30.8,3.6,8.5,1.1,2024-09-12 05:16:00,201.86285775757622,-68.977606949419,-9.933516343340292
ICME_Wind_MOESTL_20240831_01,Wind,2024-08-31 12:10:00,2024-08-31 17:40:00,2024-09-01 09:16:00,1.0003,0.23,7.19,21.1,12.9,10.7,1.6,378.7,15.6,15.6,12.9,10.8,1.4,-1.9,-9.2,4.2,-5.9,3.7,372.5,13.0,2.0,1.6,0.7,6.6,2.6,45195.3,17712.4,395.7,7.3,21.6,8.1,5.6,2.0,2024-08-31 17:40:00,211.7118279908744,-93.40788496540513,-2.8386716808112173
ICME_Wind_MOESTL_20240827_01,Wind,2024-08-27 07:30:00,2024-08-27 22:14:00,2024-08-29 16:00:00,1.0011,0.25,7.12,56.5,18.1,14.3,3.3,311.3,14.3,41.77,18.1,16.1,1.0,-2.5,-15.0,9.1,8.2,8.2,308.4,12.8,16.4,2.1,0.7,13.5,4.3,35231.1,15173.9,319.6,15.0,31.6,6.5,5.5,1.5,2024-08-27 22:14:00,213.19552985707622,-101.6442376788316,-2.031231013280238
ICME_Wind_MOESTL_20240817_01,Wind,2024-08-17 13:34:00,2024-08-17 18:56:00,2024-08-18 08:40:00,1.0027,0.25,6.8,19.1,26.0,14.3,2.9,448.8,15.6,13.73,17.4,13.9,1.9,5.0,-4.2,3.1,5.8,5.1,448.4,14.7,-5.5,10.9,5.8,32.4,17.1,51968.3,29966.5,449.9,17.7,44.9,28.3,15.8,10.8,2024-08-17 18:56:00,224.5753400650912,-102.15181589587175,3.395616731801601
ICME_Wind_MOESTL_20240810_01,Wind,2024-08-10 12:02:00,2024-08-12 08:00:00,2024-08-13 18:26:00,1.0034,0.24,6.54,78.4,26.4,16.2,4.6,458.5,40.4,34.43,22.1,17.9,3.9,2.6,-20.2,9.9,5.0,10.6,449.9,35.4,53.2,3.3,1.4,9.4,3.5,27856.1,14926.0,465.0,42.6,20.2,12.4,8.0,5.6,2024-08-12 08:00:00,232.10035380052625,-98.32198584253484,4.128083817848129
ICME_Wind_MOESTL_20240804_02,Wind,2024-08-04 21:24:00,2024-08-04 23:44:00,2024-08-05 05:30:00,1.0042,0.22,6.11,8.1,22.5,16.6,3.3,400.7,38.1,5.77,22.5,15.2,2.8,7.0,-8.2,4.7,-11.0,3.9,405.1,44.1,-51.8,1.9,0.6,7.2,2.7,284155.2,91318.4,389.9,9.2,21.8,5.4,5.6,1.6,2024-08-04 23:44:00,241.08099938271758,-90.66455600322045,7.557355086073851
ICME_Wind_MOESTL_20240804_01,Wind,2024-08-04 08:24:00,2024-08-04 08:24:00,2024-08-04 16:00:00,1.0042,0.22,6.07,7.6,19.9,15.0,1.8,386.4,10.9,7.6,19.9,15.0,1.8,-12.1,-17.4,1.8,-0.7,4.2,386.4,10.9,-1.7,5.8,3.3,23.2,12.9,37477.4,14030.6,,,,,,,2024-08-04 08:24:00,243.19170327383145,-90.75730897185439,8.555453655129831
ICME_Wind_MOESTL_20240723_01,Wind,2024-07-23 19:48:00,2024-07-24 00:02:00,2024-07-24 13:10:00,1.005,0.16,5.21,17.37,19.2,14.4,3.0,319.6,14.1,13.13,19.2,13.6,3.0,2.6,-4.6,4.4,9.7,4.5,323.5,13.7,-9.6,2.7,0.5,15.1,2.7,54827.7,27225.8,307.6,6.5,24.5,3.1,3.9,0.5,2024-07-24 00:02:00,253.61338314506605,-66.82585162871241,11.349427313146505
ICME_Wind_MOESTL_20240721_01,Wind,2024-07-21 14:20:00,2024-07-21 14:20:00,2024-07-22 21:10:00,1.0051,0.14,5.0,30.83,9.5,5.9,1.3,305.8,12.6,30.83,9.5,5.9,1.3,-4.9,-9.0,1.4,-2.1,1.7,305.8,12.6,23.6,1.6,0.3,10.4,2.5,21133.3,8892.0,,,,,,,2024-07-21 14:20:00,255.86234732403352,-58.646157664589246,10.955478080613144
ICME_Wind_MOESTL_20240715_01,Wind,2024-07-15 20:36:00,2024-07-15 20:36:00,2024-07-16 15:52:00,1.0053,0.1,4.47,19.27,17.2,13.7,2.3,351.5,15.0,19.27,17.2,13.7,2.3,4.2,-7.0,5.5,8.6,4.5,351.5,15.0,-27.7,2.3,0.7,11.0,3.1,20818.7,4753.6,,,,,,,2024-07-15 20:36:00,260.3620684157085,-42.33988162726653,10.976858496427553
ICME_Wind_MOESTL_20240615_01,Wind,2024-06-15 10:54:00,2024-06-15 16:30:00,2024-06-16 12:00:00,1.0049,-0.15,1.14,25.1,15.6,10.5,2.0,396.1,21.2,19.5,13.1,9.9,1.7,1.5,-10.0,4.9,4.1,2.6,390.2,18.1,23.4,1.6,0.5,6.0,1.6,123627.4,34108.9,420.3,15.4,13.0,2.4,3.9,0.8,2024-06-15 16:30:00,255.9433582881042,60.64496155515914,12.203608399483114
ICME_Wind_MOESTL_20240606_01,Wind,2024-06-06 01:44:00,2024-06-06 01:44:00,2024-06-07 02:00:00,1.0042,-0.2,-0.03,24.27,7.3,6.4,0.4,370.1,12.8,24.27,7.3,6.4,0.4,-0.3,-5.8,2.2,2.1,1.3,370.1,12.8,1.5,0.8,0.2,3.5,0.9,27489.5,16952.6,,,,,,,2024-06-06 01:44:00,248.1240829274766,81.7039488929128,9.24058108615347
ICME_Wind_MOESTL_20240531_01,Wind,2024-05-31 01:00:00,2024-05-31 01:00:00,2024-06-01 09:30:00,1.0037,-0.23,-0.77,32.5,9.8,5.2,1.3,350.5,12.1,32.5,9.8,5.2,1.3,-1.8,-8.3,2.2,3.6,2.0,350.5,12.1,8.8,1.6,1.1,7.6,4.8,38789.9,15714.6,,,,,,,2024-05-31 01:00:00,238.68343192686126,94.51819045194895,5.762269283855446
ICME_Wind_MOESTL_20240530_01,Wind,2024-05-30 12:30:00,2024-05-30 12:30:00,2024-05-30 20:12:00,1.0036,-0.23,-0.83,7.7,9.6,7.9,1.0,354.9,6.3,7.7,9.6,7.9,1.0,-6.3,-9.3,1.6,-2.6,2.7,354.9,6.3,,1.9,0.4,8.8,1.8,26075.6,18098.3,,,,,,,2024-05-30 12:30:00,239.0052937866702,94.37129559569821,6.832166680591972
ICME_Wind_MOESTL_20240529_02,Wind,2024-05-29 21:48:00,2024-05-29 21:48:00,2024-05-30 09:38:00,1.0035,-0.23,-0.91,11.83,9.0,7.6,0.7,341.3,6.2,11.83,9.0,7.6,0.7,0.8,-6.1,2.5,-6.9,1.0,341.3,6.2,2.2,1.1,0.3,5.7,1.5,106272.2,43979.5,,,,,,,2024-05-29 21:48:00,238.94022378612868,94.6896181053296,4.214263623424867
ICME_Wind_MOESTL_20240529_01,Wind,2024-05-29 05:34:00,2024-05-29 05:34:00,2024-05-29 21:44:00,1.0035,-0.23,-0.99,16.17,11.0,9.6,1.0,339.8,5.9,16.17,11.0,9.6,1.0,0.6,-8.3,5.0,-7.5,1.9,339.8,5.9,5.7,2.0,0.6,10.3,3.4,27569.1,14697.1,,,,,,,2024-05-29 05:34:00,236.23975045940605,94.6265382810114,4.685807889552864
ICME_Wind_MOESTL_20240517_01,Wind,2024-05-17 04:30:00,2024-05-17 04:30:00,2024-05-17 11:28:00,1.0019,-0.25,-2.42,6.97,10.4,8.9,0.9,386.9,5.5,6.97,10.4,8.9,0.9,4.7,-8.8,4.0,-5.0,2.2,386.9,5.5,9.9,2.2,0.4,8.7,1.4,72643.6,26501.0,,,,,,,2024-05-17 04:30:00,220.85423281011592,103.09896833119029,0.6772384233355647
ICME_Wind_MOESTL_20240516_01,Wind,2024-05-16 04:24:00,2024-05-16 12:34:00,2024-05-17 03:10:00,1.0017,-0.25,-2.5,22.77,16.1,8.5,2.5,420.6,34.8,14.6,10.2,8.2,1.0,3.5,-6.7,4.2,-3.5,3.4,399.1,20.3,,2.4,0.7,8.9,1.7,59507.7,23375.0,458.3,19.2,24.6,9.6,8.7,3.5,2024-05-16 12:34:00,222.37365753998944,103.2600088752262,-0.9388035812338111
ICME_Wind_MOESTL_20240511_03,Wind,2024-05-11 10:41:00,2024-05-11 11:06:00,2024-05-11 14:31:00,1.0009,-0.25,-3.07,3.83,28.6,23.3,5.3,793.6,24.4,3.42,28.6,24.7,3.4,-19.5,-25.0,8.1,-5.4,5.3,796.4,22.3,21.5,12.9,5.4,12.0,4.5,105857.9,52849.4,773.9,29.1,20.3,2.8,20.5,4.3,2024-05-11 11:06:00,215.83421658140034,103.09537490525611,-1.118947416754189
ICME_Wind_MOESTL_20240511_02,Wind,2024-05-11 07:34:00,2024-05-11 07:55:00,2024-05-11 09:30:00,1.0009,-0.25,-3.09,1.93,42.6,34.4,7.8,704.5,14.8,1.58,42.6,36.7,6.0,-33.6,-41.1,7.8,-8.0,9.5,702.9,15.4,12.6,20.7,17.1,24.8,20.4,153068.3,67993.9,711.7,8.4,27.2,3.7,23.1,3.5,2024-05-11 07:55:00,215.1427462881678,103.34244824104492,-3.290531397183465
ICME_Wind_MOESTL_20240511_01,Wind,2024-05-11 00:02:00,2024-05-11 02:18:00,2024-05-11 07:27:00,1.0008,-0.25,-3.11,7.42,55.7,38.3,6.9,720.0,29.0,5.15,44.6,37.2,3.7,-6.3,-39.7,18.8,15.6,21.7,709.4,26.5,44.3,21.0,10.0,25.2,12.3,247598.7,126397.4,744.4,17.8,34.8,8.6,32.2,8.0,2024-05-11 02:18:00,216.26042957425202,103.05326650617216,-0.9133994948772921
ICME_Wind_MOESTL_20240510_02,Wind,2024-05-10 21:39:00,2024-05-10 22:05:00,2024-05-11 01:20:00,1.0008,-0.25,-3.13,3.68,71.9,60.1,10.9,744.5,20.7,3.25,71.9,59.1,11.1,-33.6,-58.5,19.7,-19.4,38.2,746.5,18.9,,23.4,8.5,25.0,8.6,235371.9,137421.9,731.9,27.1,20.0,4.0,18.0,3.7,2024-05-10 22:05:00,215.33646441978541,103.07880187623634,-1.1701203848722928
ICME_Wind_MOESTL_20240510_01,Wind,2024-05-10 16:37:00,2024-05-10 19:10:00,2024-05-10 22:04:00,1.0008,-0.24,-3.14,5.45,71.9,35.6,13.8,693.7,24.8,2.9,71.9,41.5,13.4,-20.8,-39.1,14.4,23.7,20.1,702.5,19.0,-36.2,30.8,12.4,37.2,14.8,238030.1,136791.1,682.5,26.9,39.0,12.0,30.5,10.3,2024-05-10 19:10:00,214.67734542368245,98.85407597934291,-0.25924086011303343
ICME_Wind_MOESTL_20240430_01,Wind,2024-04-30 11:46:00,2024-05-01 01:32:00,2024-05-02 03:00:00,0.9988,-0.21,-4.18,39.23,13.6,10.6,2.5,378.1,24.3,25.47,13.6,11.8,1.7,4.3,-8.6,6.7,-7.6,3.9,364.3,17.7,34.8,2.1,1.0,9.5,4.5,28644.2,20963.3,403.4,10.4,18.0,8.2,4.8,2.1,2024-05-01 01:32:00,205.67325143866924,86.80720326485417,-6.773891271841562
ICME_Wind_MOESTL_20240415_01,Wind,2024-04-15 17:32:00,2024-04-16 09:56:00,2024-04-16 23:04:00,0.9951,-0.11,-5.51,29.53,13.1,9.8,1.5,367.6,12.6,13.13,13.1,10.7,1.5,-7.9,-11.9,1.9,-2.3,4.2,373.2,10.3,,3.5,0.8,15.2,3.3,27400.3,12201.4,363.2,12.5,15.2,2.0,3.4,0.5,2024-04-16 09:56:00,200.27226573913913,45.41812858738567,-7.9508338984526254
ICME_Wind_MOESTL_20240408_01,Wind,2024-04-08 01:48:00,2024-04-08 09:23:00,2024-04-09 13:54:00,0.9929,-0.04,-6.11,36.1,8.8,6.2,1.4,362.6,14.6,28.52,8.8,6.5,1.2,-1.7,-8.0,3.1,-4.7,1.7,358.4,12.6,-8.0,1.3,0.2,6.0,1.0,51201.6,19772.8,378.5,10.2,12.0,2.4,2.9,0.5,2024-04-08 09:23:00,199.39741197748327,16.967520727837204,-11.017847347941135
ICME_Wind_MOESTL_20240404_01,Wind,2024-04-04 10:00:00,2024-04-04 10:00:00,2024-04-04 17:40:00,0.9918,0.0,-6.36,7.67,11.6,8.5,0.8,443.9,7.5,7.67,11.6,8.5,0.8,-2.2,-8.1,1.6,3.7,1.9,443.9,7.5,-25.6,1.9,0.3,5.7,1.1,98597.3,33938.4,,,,,,,2024-04-04 10:00:00,198.16150915130555,0.6072099549678989,-9.827133309275098
ICME_Wind_MOESTL_20240330_01,Wind,2024-03-30 12:56:00,2024-03-30 14:10:00,2024-03-31 00:36:00,0.9904,0.05,-6.63,11.67,13.8,10.8,1.9,380.3,33.3,10.43,13.8,11.2,1.6,-2.8,-10.0,3.4,-8.2,2.1,385.5,31.2,-61.6,2.2,0.3,9.0,1.6,92637.9,65184.6,335.6,3.6,16.1,1.9,3.0,0.4,2024-03-30 14:10:00,197.80389360716484,-19.62416389239975,-10.309318633378439
ICME_Wind_MOESTL_20240324_01,Wind,2024-03-24 14:14:00,2024-03-24 18:22:00,2024-03-25 10:04:00,0.9888,0.1,-6.89,19.83,32.8,22.5,6.3,777.9,44.9,15.7,31.2,23.1,6.1,11.8,-5.3,6.3,-10.9,14.8,774.1,47.3,52.6,6.2,5.7,6.5,6.2,56686.0,19958.4,792.2,30.0,14.5,4.4,15.2,4.6,2024-03-24 18:22:00,195.98012982465713,-39.89973383932319,-7.88543977064496
ICME_Wind_MOESTL_20240321_01,Wind,2024-03-21 02:02:00,2024-03-21 15:34:00,2024-03-22 05:04:00,0.9879,0.12,-7.01,27.03,14.4,9.7,1.8,357.6,10.8,13.5,12.3,9.4,1.3,0.2,-10.8,5.1,5.4,3.4,363.6,9.0,9.3,2.3,1.1,10.3,4.5,17683.5,6470.9,351.6,9.0,24.4,6.8,5.0,1.4,2024-03-21 15:34:00,196.64265533831562,-47.85666256979589,-9.968687985481633
ICME_Wind_MOESTL_20240303_01,Wind,2024-03-03 09:06:00,2024-03-03 23:56:00,2024-03-04 23:36:00,0.9828,0.24,-7.25,38.5,21.4,12.3,2.7,351.5,21.3,23.67,14.1,11.3,1.1,-1.0,-10.0,4.2,-10.0,1.4,360.1,22.8,-21.3,1.1,0.6,5.3,3.1,124977.7,58925.9,338.1,7.6,34.8,11.5,6.6,2.2,2024-03-03 23:56:00,206.30331442871483,-95.79090347000498,-0.8573752048918515
ICME_Wind_MOESTL_20240224_01,Wind,2024-02-24 16:24:00,2024-02-25 13:30:00,2024-02-26 10:16:00,0.9807,0.25,-7.15,41.87,13.3,9.7,1.7,385.3,21.3,20.77,13.3,10.6,1.4,3.5,-6.2,5.1,4.3,4.4,384.6,13.6,-8.7,1.8,1.0,7.3,3.9,40698.5,22626.3,386.1,26.6,12.0,5.3,2.9,1.1,2024-02-25 13:30:00,212.90657076703437,-99.56915445723465,1.825290231196727
ICME_Wind_MOESTL_20240103_02,Wind,2024-01-03 14:20:00,2024-01-03 18:00:00,2024-01-04 12:50:00,0.9723,-0.03,-3.22,22.5,9.7,6.6,1.6,446.7,19.6,18.83,9.5,6.5,1.7,1.1,-7.6,2.9,4.5,2.4,444.9,20.0,32.8,1.6,0.6,4.7,1.3,90595.5,46376.5,455.9,13.7,9.7,0.9,3.4,0.5,2024-01-03 18:00:00,258.20929670167214,13.635046854480558,14.403191948751822
ICME_Wind_MOESTL_20240103_01,Wind,2024-01-03 04:48:00,2024-01-03 08:12:00,2024-01-03 14:18:00,0.9724,-0.03,-3.17,9.5,11.6,7.0,2.1,416.9,20.5,6.1,7.2,5.7,0.6,-1.0,-6.1,2.2,0.1,1.5,404.3,10.6,16.3,1.9,0.6,6.7,1.9,148573.6,44409.3,439.3,13.7,11.5,1.2,3.7,0.4,2024-01-03 08:12:00,255.83824833976252,13.775934742101166,15.565699900121128
ICME_Wind_MOESTL_20231228_01,Wind,2023-12-28 22:50:00,2023-12-29 11:36:00,2023-12-29 21:10:00,0.9725,-0.08,-2.6,22.33,10.3,7.3,1.7,379.6,16.6,9.57,10.3,8.9,1.0,2.3,-2.2,2.3,7.6,1.8,366.7,14.0,1.5,2.5,0.6,11.0,2.9,31939.2,10966.0,389.2,10.9,14.8,4.3,3.7,1.0,2023-12-29 11:36:00,254.8802945031696,33.51042030529061,12.424663211318594
ICME_Wind_MOESTL_20231217_01,Wind,2023-12-17 06:56:00,2023-12-17 21:40:00,2023-12-18 03:14:00,0.9736,-0.17,-1.16,20.3,18.0,10.3,2.2,497.9,24.8,5.57,11.2,10.6,0.3,8.0,5.3,1.4,-5.5,1.2,485.0,6.0,-14.7,3.1,1.0,7.9,2.4,16812.7,6452.9,502.6,27.2,17.7,3.0,7.5,1.4,2023-12-17 21:40:00,245.96280749307897,69.59323488117278,10.529866376001698
ICME_Wind_MOESTL_20231215_01,Wind,2023-12-15 10:52:00,2023-12-15 22:44:00,2023-12-16 10:56:00,0.9739,-0.18,-0.91,24.07,22.2,10.1,3.7,470.6,39.9,12.2,11.3,7.8,1.4,-1.1,-5.2,1.8,-2.6,2.6,498.1,10.3,13.6,2.7,1.1,6.4,2.6,38536.4,26763.3,441.5,38.8,17.5,10.2,5.5,2.8,2023-12-15 22:44:00,243.39635562137508,73.658723306317,10.598173218919483
ICME_Wind_MOESTL_20231204_01,Wind,2023-12-04 11:54:00,2023-12-04 11:54:00,2023-12-05 04:02:00,0.9759,-0.23,0.55,16.13,15.3,12.0,2.1,548.8,15.0,16.13,15.3,12.0,2.1,2.0,-7.1,2.6,6.3,5.7,548.8,15.0,14.7,3.0,0.5,6.0,1.1,233232.8,64933.5,,,,,,,2023-12-04 11:54:00,228.99739594460294,93.36320606407101,5.871394928061033
ICME_Wind_MOESTL_20231201_01,Wind,2023-12-01 08:52:00,2023-12-01 19:52:00,2023-12-03 01:38:00,0.9764,-0.24,0.89,40.77,30.1,15.3,4.6,473.9,38.1,29.77,18.9,13.4,2.9,3.1,-15.2,7.8,10.0,4.2,460.1,34.9,59.0,1.9,1.8,5.0,4.1,14399.0,12289.6,509.9,15.9,27.1,12.1,11.9,5.4,2023-12-01 19:52:00,226.62364921299852,97.37048547456214,5.461542633985288
ICME_Wind_MOESTL_20231130_01,Wind,2023-11-30 23:26:00,2023-12-01 06:06:00,2023-12-01 12:32:00,0.9765,-0.24,0.96,13.1,30.1,14.3,5.4,459.5,41.4,6.43,30.1,18.0,5.4,-3.9,-27.3,13.3,-9.4,6.1,483.1,47.6,-53.4,11.0,7.7,25.8,16.1,153816.3,40933.9,436.7,10.8,17.8,2.7,5.7,1.0,2023-12-01 06:06:00,226.39095834221476,97.23642111945165,4.357908670851002
ICME_Wind_MOESTL_20231113_01,Wind,2023-11-13 16:34:00,2023-11-14 10:02:00,2023-11-14 23:22:00,0.9806,-0.24,3.0,30.8,14.7,11.5,1.4,398.0,33.9,13.33,13.2,11.1,1.2,-0.4,-12.0,3.6,-1.3,5.3,362.7,12.1,20.4,1.4,0.3,6.4,1.3,41385.1,14634.5,424.6,16.3,3.8,1.0,1.1,0.3,2023-11-14 10:02:00,208.65810707617035,96.57541548869906,-2.4049025334311502
ICME_Wind_MOESTL_20231112_01,Wind,2023-11-12 05:40:00,2023-11-12 22:12:00,2023-11-13 08:44:00,0.981,-0.23,3.17,27.07,11.1,8.1,1.9,489.3,51.5,10.53,11.1,9.3,1.2,0.4,-8.5,4.7,-1.3,1.6,432.8,15.9,28.9,6.1,1.1,19.3,3.2,46181.5,14167.7,525.7,28.7,10.9,4.0,5.0,1.6,2023-11-12 22:12:00,207.25045302875915,92.52456609568998,-2.638478738438097
ICME_Wind_MOESTL_20231105_02,Wind,2023-11-05 11:54:00,2023-11-05 12:30:00,2023-11-05 18:28:00,0.983,-0.2,3.98,6.57,42.5,28.1,7.1,479.3,16.9,5.97,39.2,26.9,6.4,-16.1,-30.2,7.7,3.2,18.0,478.0,17.1,29.5,13.5,4.0,35.3,9.9,202486.3,92925.0,492.2,6.3,35.3,5.7,14.3,2.1,2023-11-05 12:30:00,201.32328974204373,80.34973210805603,-3.6713913538189806
ICME_Wind_MOESTL_20231105_01,Wind,2023-11-05 08:28:00,2023-11-05 08:28:00,2023-11-05 10:54:00,0.983,-0.2,3.99,2.43,32.4,25.2,4.5,393.0,19.4,2.43,32.4,25.2,4.5,-14.1,-30.1,12.3,-8.0,12.1,393.0,19.4,-5.6,9.0,2.1,35.1,9.0,160205.2,41444.1,,,,,,,2023-11-05 08:28:00,202.28555078537087,80.01767199978042,-6.778860833929677
